,index,GameName,GuidePSNP,GuidePS3T,GuidePS3I,GuidePyx,GuideKnoef,GuideYoutube,GuideDex,GuideTrophiesDE,GuideCust,GuideCustLabel,GameImg,UnobtainableTrophies,GameID,Desc,Img,CoverArt,LogoImg,Screenshot1,Screenshot2,Screenshot3,Screenshot4,Screenshot5,Screenshot6,Screenshot7,Screenshot8,Screenshot9,PreviewVideo,Publisher,Developer,IsPS4,IsPS5,IsVR,IsMove,VitaCB,PS4Size,PS5Size,OnlinePlay,OfflinePlayers,OnlinePlayers,PSPlusNeeded,IsDLC,VoiceLang,SubtitleLang,OpenCriticID,MetacriticURL,GenreRPG,GenreAction,GenreAdventure,GenreTPS,GenreFPS,GenreMMO,GenrePlatformer,GenreFighting,GenreSimulation,GenreArcade,GenreStrategy,GenreSports,GenrePuzzle,GenreMusic,GenreRacing,GenreHorror,GenreIntStory,OldDifficulty,Region,BasePrice,PlusPrice,SalePrice,LowestEverPrice,LowestEverPlusPrice,DiscPerc,ReleaseDate,LastDiscounted,DiscountedUntil,PSPExPremUntil,PSPExtra,PSPPremium,PSNID,ProductName,PPID,TrophyListURL,Rating,RatingDesc,IsDemoOrSoundtrack,Bronze,Silver,Gold,Platinum,Difficulty,HoursLow,HoursHigh,formattedBasePrice,formattedSalePrice,formattedPlusPrice,PSStoreURL,PlatPricesURL,error,errorDesc,apiLimit,apiUsage
0,0,Jurassic World Evolution 2,14990-jurassic-world-evolution-2-trophy-guide,,,,,00000000000,,,https://platget.com/guides/jurassic-world-evolution-2-trophy-guide/,PlatGet,,,PPSA03287,"This product entitles you to download both the digital PS4 version and the digital PS5 version of this game.<br /><br />Jurassic World Evolution 2 is the much-anticipated sequel to Frontier's ground-breaking 2018 management simulation, Jurassic World Evolution, offering an all new narrative campaign voiced by cast members from across the Jurassic World film franchise, exciting new features, four engaging game modes, and an expanded roster of awe-inspiring dinosaurs.   <br /><br />An Original Jurassic World Story <br /><br />Learn what it takes to be a park management master in Campaign mode, a compelling, original narrative that puts you at the heart of the action following the earth-shattering events of Jurassic World: Fallen Kingdom. Work alongside iconic characters from the films, including Dr. Ian Malcolm (voiced by Jeff Goldblum) and Claire Dearing (voiced by Bryce Dallas Howard), and lead the efforts to control, conserve, and contain wild dinosaurs now rampaging across the USA.<br /><br />Create your own Jurassic World <br /><br />Take control with deeper management tools and creative options. Construct a range of customisable new buildings and hire new Scientists, and shape your park to meet the needs of both your guests and dinosaurs. Unleash your creativity in Sandbox mode, or test your skills in Challenge mode as you deal with diverse locations and environmental calamities.<br /><br />Play with Chaos Theory<br /><br />Play through key moments of your favourite films - with a twist. Experience ‘what-if' scenarios from iconic Jurassic World and Jurassic Park films, each level set across eras and locations from all five movies. Dive into the Jurassic World franchise and see how events unfold when you take control.<br /><br />Discover Awe-Inspiring Dinosaurs<br /><br />Over 75 different prehistoric species come to life in Jurassic World Evolution 2, including highly requested flying and marine reptiles. These animals feel more alive than ever as they preside over territory, fight for dominance, and react intelligently to the world around them. Use bioengineering to customise dinosaurs with bold new colours, and alter their genomes to unlock traits.<br /><br />Offline play enabled",https://image.api.playstation.com/vulcan/ap/rnd/202107/2708/WZhQmSMCGEJgLHhnikOcuMnu.png,https://image.api.playstation.com/vulcan/ap/rnd/202107/2717/6kocG7zxW91SotaqXs1bgQ1E.jpg,https://image.api.playstation.com/vulcan/ap/rnd/202107/2717/0BF6c8wZ2onmbEBT0I7vhuPD.png,https://image.api.playstation.com/vulcan/ap/rnd/202108/2317/seSlgiaBJVfe4xcnJVWbPzGW.jpg,https://image.api.playstation.com/vulcan/ap/rnd/202108/2317/ahd3z0m6A30Kgegfj8ljweax.jpg,https://image.api.playstation.com/vulcan/ap/rnd/202108/2317/ARdXU4jDEzhPrOYLTOFmQkAY.jpg,https://image.api.playstation.com/vulcan/ap/rnd/202108/2317/Jx1gl5jh74vNJCEufegppO3V.jpg,https://image.api.playstation.com/vulcan/ap/rnd/202108/2317/lZduTfb4o9skiyaa8NlzOhDg.jpg,https://image.api.playstation.com/vulcan/ap/rnd/202108/2317/ZxzWxOz7ass1cRr5UtyLfrV2.jpg,https://image.api.playstation.com/vulcan/ap/rnd/202108/2317/jraoiIxcsQovB61H8Io8MrQs.jpg,https://image.api.playstation.com/vulcan/ap/rnd/202108/2317/s0Nbij4NztKpOCPbGPO5iOxF.jpg,https://image.api.playstation.com/vulcan/ap/rnd/202108/2317/9FPJ9TbnNnsVw3zVqd6wAy9r.jpg,https://vulcan.dl.playstation.net/img/rnd/202108/2416/51tzCmt3UMGJNZTqzIQL8B8Y.mp4,Frontier Developments PLC,,1,1,0,0,0,7837253632,6954090496,0,1,0,1,0,"[""de"",""ru"",""es_MX"",""en"",""it"",""pt_BR"",""fr"",""es"",""ja"",""zh""]","[""de"",""ru"",""ko"",""ch"",""en"",""it"",""pt_BR"",""fr"",""es"",""zh"",""ja"",""es_MX"",""pl""]",-1,,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7,CA,7999,0,7999,8388607,8388607,0,2021-11-09,2023-06-07 06:04:30,9998-01-01 01:00:00,2001-00-00 01:00:00,0,0,UP2514-PPSA03287_00-JWEVOLUTION2AAAA,Jurassic World Evolution 2 PS4 and PS5,75926,https://psnprofiles.com/trophies/14580-jurassic-world-evolution-2,Apresenta:,"[""Sangre moderada"",""Violencia""]",0,35,18,1,1,7,70,100,$79.99,$79.99,FREE,https://store.playstation.com/en-ca/product/UP2514-PPSA03287_00-JWEVOLUTION2AAAA,https://platprices.com/en-ca/game/75926-jurassic-world-evolution-2-ps4-and-ps5,0,,500,0
1,0,NBA 2K23,,,,,,00000000000,,,,,,"1,34",PPSA07169,"Rise to the occasion and realize your full potential in NBA 2K23. Prove yourself against the best players in the world and showcase your talent in MyCAREER. Pair today's All-Stars with timeless legends in MyTEAM. Build a dynasty of your own in MyGM or take the NBA in a new direction with MyLEAGUE. Take on NBA or WNBA teams in PLAY NOW and experience true-to-life gameplay. How will you Answer the Call?<br /><br />TAKE MORE CONTROL<br />Feel refined gameplay in the palm of your hands on both sides of the ball in NBA 2K23. Attack the basket with a new arsenal of offensive skill-based moves, while you unleash your potential as a lockdown defender with new 1-on-1 mechanics to stifle opposing players at every turn.<br /><br />AN EPIC VOYAGE AWAITS<br />Embark on a swashbuckling basketball journey aboard a spacious cruiseliner equipped with pristine courts, scenic views, and a boatload of rewards for you and your MyPLAYER to enjoy. Plus, there's even more to explore during shore excursions.<br /><br />JORDAN CHALLENGE RETURNS<br />Step back in time with era-specific visuals that captured Michael Jordan's ascent from collegiate sensation to global icon with immersive Jordan Challenges chronicling his career-defining dominance. Lace up his shoes to recreate his otherworldly stat lines and iconic last shots, while listening to first-hand accounts from those who witnessed his maturation from budding star to basketball legend.<br /><br />BUILD YOUR SQUAD<br />Ball without limits as you collect and assemble a bevy of legendary talent from any era in MyTEAM. Dominate the hardwood each Season, and bring your vision to life with a broad set of customization tools to create the perfect look for your perfect starting five.<br /><br />Purchase or use of this item is subject to SEN Terms of Service and User Agreement.",https://image.api.playstation.com/vulcan/ap/rnd/202206/2200/vLdTCoRLhhHmAAqRypgAOlAI.png,https://image.api.playstation.com/vulcan/ap/rnd/202206/2201/RMju6LNQjbuRROBU9w94zgTp.jpg,https://image.api.playstation.com/vulcan/ap/rnd/202206/2201/HLR0MUlqoseOvcyWWRCBO7JL.png,https://image.api.playstation.com/vulcan/ap/rnd/202209/0721/JlZZoMR1i9FFn2Mcu1I3DsLd.jpg,https://image.api.playstation.com/vulcan/ap/rnd/202209/0721/SviNQpDqQUp9zLlUZPomfMIT.jpg,https://image.api.playstation.com/vulcan/ap/rnd/202209/0721/9YH2KOUFxPNpAgHtfmXhNe9L.jpg,,,,,,,,2K,,1,1,0,0,0,47631695872,153597706240,1,4,10,1,0,"[""en""]","[""de"",""ko"",""ch"",""ja"",""en"",""it"",""fr"",""es"",""zh""]",-1,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,CA,6999,0,6999,8388607,8388607,0,2023-06-06,2023-06-06 18:09:40,2023-07-04 16:00:00,2001-00-00 01:00:00,0,0,UP1001-PPSA07169_00-NBA2K23CROSSBUY0,NBA 2K23,109176,https://psnprofiles.com/trophies/17957-nba-2k23,ESRB Everyone,,0,32,10,3,1,-1,-1,-1,$69.99,$69.99,FREE,https://store.playstation.com/en-ca/product/UP1001-PPSA07169_00-NBA2K23CROSSBUY0,https://platprices.com/en-ca/game/109176-nba-2k23,0,,500,1
2,0,Trek to Yomi,14383-trek-to-yomi-trophy-guide,,,,,00000000000,,,https://platget.com/guides/trek-to-yomi-trophy-guide/,PlatGet,,,PPSA02628,"As a vow to his dying Master, the young swordsman Hiroki is sworn to protect his town and the people he loves against all threats. Faced with tragedy and bound to duty, the lone samurai must voyage beyond life and death to confront himself and decide his path forward.<br /><br />Cinematic Presentation<br />Breathtaking camera angles and striking visuals in the spirit of classic samurai film create a true cinematic experience in Trek to Yomi.<br /><br />Stylish Combat<br />Engage vicious swordsmen and supernatural beings with a streamlined combat system based around the traditional weapons of the samurai.<br /><br />Mythic Storytelling<br />Experience an enthralling story of Hiroki during his fall against the forces of evil and heroic return to make good on his failed promise to save the people he swore to protect.<br /><br />Thrilling Soundtrack<br />The thrilling action and somber moments are set against a memorable score designed to feel authentic to the time and place of feudal Japan.<br /><br />Offline play enabled",https://image.api.playstation.com/vulcan/ap/rnd/202208/2518/H38ighX3WbFQsB1tVWABV7QV.png,https://image.api.playstation.com/vulcan/ap/rnd/202203/0100/njgnjtMn1qv3DC4bC5tI0MS1.jpg,https://image.api.playstation.com/vulcan/ap/rnd/202203/2404/7fjFv0hlahn984Qjw0QRGrv8.png,https://image.api.playstation.com/vulcan/ap/rnd/202203/0100/a8ZmpylT4D8eF6vVJmu3iIEq.jpg,https://image.api.playstation.com/vulcan/ap/rnd/202203/0100/6xEcuTLP7utMhlJHu5dJuM7v.jpg,https://image.api.playstation.com/vulcan/ap/rnd/202203/0100/NFbrO31zD1rS7gtJa9gP0gVl.jpg,https://image.api.playstation.com/vulcan/ap/rnd/202203/0100/234TlFVKRbWHXDg2nd6WD72U.jpg,https://image.api.playstation.com/vulcan/ap/rnd/202203/0100/4NqMeWgslrQMt6EvyyHAsGcG.jpg,https://image.api.playstation.com/vulcan/ap/rnd/202203/0100/UhN9iLEd4lrl1kIevAfzztz6.jpg,https://image.api.playstation.com/vulcan/ap/rnd/202203/0100/ak2VU3J6PO2SnyaEtLtnWXIE.jpg,https://image.api.playstation.com/vulcan/ap/rnd/202203/0100/RCQBZZFBR3jUbmVPclaieZOr.jpg,,https://vulcan.dl.playstation.net/img/rnd/202203/2421/x1dZDfihIQGgEqeNsRQ4L1jG.mp4,Devolver Digital,Flying Wild Hog,1,1,0,0,0,6398935040,8184791040,0,1,0,1,0,"[""ja""]","[""de"",""ru"",""ko"",""ch"",""ja"",""en"",""it"",""pt_BR"",""fr"",""pl"",""es"",""zh""]",13107,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,CA,2699,0,2699,8388607,8388607,0,2022-05-05,2023-06-06 18:22:52,9998-01-01 01:00:00,2001-00-00 01:00:00,0,0,UP3643-PPSA02628_00-1990133284463875,Trek to Yomi,86329,https://psnprofiles.com/trophies/16221-trek-to-yomi,ESRB Mature 17+,"[""Linguagem Impr\u00f3pria"",""Temas Sens\u00edveis"",""Viol\u00eancia""]",0,9,14,5,1,5,12,20,$26.99,$26.99,FREE,https://store.playstation.com/en-ca/product/UP3643-PPSA02628_00-1990133284463875,https://platprices.com/en-ca/game/86329-trek-to-yomi,0,,500,2
